id,report_year,metric_id,value,value_text,is_adjusted,adjustment_note
400,2022,38,0.0,,False,
401,2022,39,33000.0,,False,
402,2022,40,0.0,,False,
403,2022,41,0.0,,False,
404,2022,42,0.0,,False,
405,2022,43,8277777.0,,False,
406,2022,44,0.0,,False,
407,2022,45,,,False,
408,2022,46,8277777.0,,False,
409,2021,28,4.8,,False,
410,2021,29,6974000.0,,False,
411,2021,30,0.0,,False,
412,2021,31,6974000.0,,False,
413,2021,32,0.0,,False,
414,2021,33,452146.0,,False,
415,2021,34,452146.0,,False,
416,2021,35,0.0,,False,
417,2021,36,452146.0,,False,
418,2021,37,1000.0,,False,
419,2021,38,0.0,,False,
420,2021,39,1000.0,,False,
421,2021,40,0.0,,False,
422,2021,41,0.0,,False,
423,2021,42,0.0,,False,
424,2021,43,7427146.0,,False,
425,2021,44,0.0,,False,
426,2021,45,0.0,,False,
427,2021,46,7427146.0,,False,
428,2020,28,4.8,,False,
429,2020,29,6864999.0,,False,
430,2020,30,0.0,,False,
431,2020,31,6864999.0,,False,
432,2020,32,0.0,,False,
433,2020,33,452146.0,,False,
434,2020,34,452146.0,,False,
435,2020,35,0.0,,False,
436,2020,36,452146.0,,False,
437,2020,37,7487.0,,False,
438,2020,38,0.0,,False,
439,2020,39,7487.0,,False,
440,2020,40,50000.0,,False,
441,2020,41,0.0,,False,
442,2020,42,0.0,,False,
443,2020,43,7324632.0,,False,
444,2020,44,50000.0,,False,
445,2020,45,50000.0,,False,
446,2020,46,7374632.0,,False,
447,2019,28,4.8,,False,
448,2019,29,6206120.0,,False,
449,2019,30,1000000.0,,False,
450,2019,31,6206120.0,,False,
451,2019,32,1000000.0,,False,
452,2019,33,395628.0,,False,
453,2019,34,395628.0,,False,
454,2019,35,21739.0,,False,
455,2019,36,417367.0,,False,
456,2019,37,15650.0,,False,
457,2019,38,0.0,,False,
458,2019,39,15650.0,,False,
459,2019,40,50000.0,,False,
460,2019,41,0.0,,False,
461,2019,42,0.0,,False,
462,2019,43,6639137.0,,False,
463,2019,44,1050000.0,,False,
464,2019,45,1050000.0,,False,
465,2019,46,7689137.0,,False,
466,2018,28,4.8,,False,
467,2018,29,6296120.0,,False,
468,2018,30,,,False,
469,2018,31,6296120.0,,False,
470,2018,32,,,False,
471,2018,33,395628.0,,False,
472,2018,34,395628.0,,False,
473,2018,35,17391.0,,False,
474,2018,36,395628.0,,False,
475,2018,37,,,False,
476,2018,38,,,False,
477,2018,39,,,False,
478,2018,40,,,False,
479,2018,41,0.0,,False,
480,2018,42,0.0,,False,
481,2018,43,6296120.0,,False,
482,2018,44,,,False,
483,2018,45,,,False,
484,2018,46,6296120.0,,False,
485,2017,28,4.7,,False,
486,2017,29,5460350.0,,False,
487,2017,30,110000.0,,False,
488,2017,31,5460350.0,,False,
489,2017,32,110000.0,,False,
490,2017,33,339110.0,,False,
491,2017,34,339110.0,,False,
492,2017,35,30629.0,,False,
493,2017,36,369739.0,,False,
494,2017,37,,,False,
495,2017,38,850.0,,False,
496,2017,39,,,False,
497,2017,40,,,False,
498,2017,41,140280.0,,False,
499,2017,42,0.0,,False,
500,2017,43,5971219.0,,False,
501,2017,44,110000.0,,False,
502,2017,45,,,False,
503,2017,46,6081219.0,,False,
504,2016,28,4.42,,False,
505,2016,29,5113000.0,,False,
506,2016,30,110000.0,,False,
507,2016,31,5113000.0,,False,
508,2016,32,110000.0,,False,
509,2016,33,339110.0,,False,
510,2016,34,339110.0,,False,
511,2016,35,147874.0,,False,
512,2016,36,486984.0,,False,
513,2016,37,4390.0,,False,
514,2016,38,,,False,
515,2016,39,,,False,
516,2016,40,,,False,
517,2016,41,153500.0,,False,
518,2016,42,0.0,,False,
519,2016,43,5757874.0,,False,
520,2016,44,110000.0,,False,
521,2016,45,,,False,
522,2016,46,5757874.0,,False,
523,2015,28,4.42,,False,
524,2015,29,4936120.0,,False,
525,2015,30,110000.0,,False,
526,2015,31,4936120.0,,False,
527,2015,32,110000.0,,False,
528,2015,33,206504.0,,False,
529,2015,34,206504.0,,False,
530,2015,35,76087.0,,False,
531,2015,36,282591.0,,False,
532,2015,37,,,False,
533,2015,38,,,False,
534,2015,39,,,False,
535,2015,40,,,False,
536,2015,41,157971.0,,False,
537,2015,42,0.0,,False,
538,2015,43,5376682.0,,False,
539,2015,44,110000.0,,False,
540,2015,45,,,False,
541,2015,46,5376682.0,,False,
542,2014,28,4.4,,False,
543,2014,29,4962800.0,,False,
544,2014,30,110000.0,,False,
545,2014,31,4962800.0,,False,
546,2014,32,110000.0,,False,
547,2014,33,206504.0,,False,
548,2014,34,206504.0,,False,
549,2014,35,76087.0,,False,
550,2014,36,282591.0,,False,
551,2014,37,250.0,,False,
552,2014,38,,,False,
553,2014,39,,,False,
554,2014,40,,,False,
555,2014,41,157416.0,,False,
556,2014,42,0.0,,False,
557,2014,43,5403057.0,,False,
558,2014,44,110000.0,,False,
559,2014,45,,,False,
560,2014,46,5513057.0,,False,
561,2013,28,4.4,,False,
562,2013,29,4804490.0,,False,
563,2013,30,110300.0,,False,
564,2013,31,4804490.0,,False,
565,2013,32,110300.0,,False,
566,2013,33,226073.0,,False,
567,2013,34,226073.0,,False,
568,2013,35,30884.0,,False,
569,2013,36,256957.0,,False,
570,2013,37,,,False,
571,2013,38,,,False,
572,2013,39,,,False,
573,2013,40,,,False,
574,2013,41,158648.0,,False,
575,2013,42,0.0,,False,
576,2013,43,5220095.0,,False,
577,2013,44,110300.0,,False,
578,2013,45,,,False,
